Date : 2022-11-03 21:19:05
Directory : c:\Users\hamid\MyApp
Total : 76 files,  40219 codes, 354 comments, 558 blanks, all 41131 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\hamid\MyApp\screens\detailPageTwo\index.tsx                   | TypeScript React   |        191 |         15 |          7 |        213 |
| c:\Users\hamid\MyApp\screens\detailPage\index.tsx                      | TypeScript React   |        191 |         15 |         12 |        218 |
| c:\Users\hamid\MyApp\screens\editItem\index.tsx                        | TypeScript React   |        988 |         15 |         33 |      1,036 |
| c:\Users\hamid\MyApp\screens\editProfile\index.tsx                     | TypeScript React   |        698 |          6 |         26 |        730 |
| c:\Users\hamid\MyApp\screens\informations\index.tsx                    | TypeScript React   |        103 |          0 |          2 |        105 |
| c:\Users\hamid\MyApp\screens\informations\style\informations.style.tsx | TypeScript React   |          7 |          0 |          1 |          8 |
| c:\Users\hamid\MyApp\screens\loactionPartner\index.tsx                 | TypeScript React   |        147 |          3 |          6 |        156 |
| c:\Users\hamid\MyApp\screens\map\Filter.tsx                            | TypeScript React   |        271 |          1 |          6 |        278 |
| c:\Users\hamid\MyApp\screens\map\addOnMap\ModalPicker.tsx              | TypeScript React   |        398 |          0 |          9 |        407 |
| c:\Users\hamid\MyApp\screens\map\addOnMap\idex.tsx                     | TypeScript React   |        806 |         45 |         34 |        885 |
| c:\Users\hamid\MyApp\screens\map\addOnMap\mapSelect.tsx                | TypeScript React   |        211 |         38 |         12 |        261 |
| c:\Users\hamid\MyApp\screens\map\index.tsx                             | TypeScript React   |        799 |         38 |         28 |        865 |
| c:\Users\hamid\MyApp\screens\map\searchOnMap\index.tsx                 | TypeScript React   |        201 |          1 |         10 |        212 |
| c:\Users\hamid\MyApp\screens\myAddress\index.tsx                       | TypeScript React   |        224 |          4 |         11 |        239 |
| c:\Users\hamid\MyApp\screens\myAddress\style\myAddress.style.tsx       | TypeScript React   |         33 |          0 |          1 |         34 |
| c:\Users\hamid\MyApp\screens\notification\index.tsx                    | TypeScript React   |         15 |          1 |          2 |         18 |
| c:\Users\hamid\MyApp\screens\profile\index.tsx                         | TypeScript React   |        492 |          2 |          9 |        503 |
| c:\Users\hamid\MyApp\screens\realS\index.tsx                           | TypeScript React   |        308 |          5 |          7 |        320 |
| c:\Users\hamid\MyApp\screens\signIn\index.tsx                          | TypeScript React   |        258 |          0 |         10 |        268 |
| c:\Users\hamid\MyApp\screens\signUp\index.tsx                          | TypeScript React   |        213 |          1 |          8 |        222 |
| c:\Users\hamid\MyApp\screens\splash\index.tsx                          | TypeScript React   |         94 |          1 |         10 |        105 |
| c:\Users\hamid\MyApp\screens\splash\style\splash.style.tsx             | TypeScript React   |         31 |          0 |          4 |         35 |
| c:\Users\hamid\MyApp\screens\start\index.tsx                           | TypeScript React   |        200 |          0 |          3 |        203 |
| c:\Users\hamid\MyApp\screens\wellcome\index.tsx                        | TypeScript React   |          8 |          0 |          4 |         12 |
| c:\Users\hamid\MyApp\screens\wellcome\style\welcome.style.tsx          | TypeScript React   |         23 |          0 |          3 |         26 |
| c:\Users\hamid\MyApp\service\map\Map.action.tsx                        | TypeScript React   |         14 |          0 |          2 |         16 |
| c:\Users\hamid\MyApp\service\map\Map.context.tsx                       | TypeScript React   |        172 |         14 |         24 |        210 |
| c:\Users\hamid\MyApp\service\map\Map.service.tsx                       | TypeScript React   |         54 |          5 |          8 |         67 |
| c:\Users\hamid\MyApp\service\map\useDebounce.tsx                       | TypeScript React   |         16 |          7 |          4 |         27 |
| c:\Users\hamid\MyApp\service\object\Object.action.tsx                  | TypeScript React   |         39 |          0 |          5 |         44 |
| c:\Users\hamid\MyApp\service\object\Object.context.tsx                 | TypeScript React   |        267 |         15 |         13 |        295 |
| c:\Users\hamid\MyApp\service\object\Object.service.tsx                 | TypeScript React   |        212 |          4 |         13 |        229 |
| c:\Users\hamid\MyApp\service\profile\Profile.action.tsx                | TypeScript React   |         14 |          0 |          1 |         15 |
| c:\Users\hamid\MyApp\service\profile\Profile.context.tsx               | TypeScript React   |         67 |          1 |          5 |         73 |
| c:\Users\hamid\MyApp\service\profile\Profile.service.tsx               | TypeScript React   |         95 |          4 |          4 |        103 |
| c:\Users\hamid\MyApp\service\register\Auth.action.tsx                  | TypeScript React   |         23 |          0 |          1 |         24 |
| c:\Users\hamid\MyApp\service\register\Auth.context.tsx                 | TypeScript React   |        141 |          1 |         19 |        161 |
| c:\Users\hamid\MyApp\service\register\Auth.service.tsx                 | TypeScript React   |        178 |          4 |         12 |        194 |
| c:\Users\hamid\MyApp\tsconfig.json                                     | JSON with Comments |          7 |          0 |          1 |          8 |
| c:\Users\hamid\MyApp\utils\http-common.ts                              | TypeScript         |         10 |          0 |          1 |         11 |
| c:\Users\hamid\MyApp\utils\main.js                                     | JavaScript         |          6 |          0 |          3 |          9 |
| c:\Users\hamid\MyApp\utils\storeData\index.tsx                         | TypeScript React   |         50 |          7 |         14 |         71 |
| c:\Users\hamid\MyApp\utils\storeData\key.tsx                           | TypeScript React   |          4 |          0 |          1 |          5 |
| Total                                                                  |                    |     40,219 |        354 |        558 |     41,131 |
+------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
